"CMPD_CHEMBLID","MOLWEIGHT","ALOGP","PSA","NUM_RO5_VIOLATIONS","CANONICAL_SMILES","PUBLISHED_VALUE","PUBLISHED_UNITS"
"CHEMBL3695819",494.64,6.98,71.33,1,"Cc1c(C)n(Cc2ccc(cc2)c3ccccc3C(=O)O)c4ccc(cc14)C(=O)NCC5CCCCC5",78.0,"nM"
"CHEMBL3695904",576.78,9.81,34.03,2,"CC(C)c1cccc(c1)[C@H](Cc2ccccc2)NC(=O)c3ccc4c(c3)c(C)c(C)n4Cc5ccc(cc5)c6ccccc6",97.0,"nM"
"CHEMBL3699406",538.05,7.21,84.22,2,"C[C@H](NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc3ccc(cc3)c4ccccc4C(=O)O)c5ccc(Cl)nc5",144.0,"nM"
"CHEMBL3695764",572.58,7.5,80.56,2,"Cc1c(C)n(Cc2ccc(cc2)c3ccccc3C(=O)O)c4ccc(cc14)C(=O)NCc5cccc(OC(F)(F)F)c5",157.0,"nM"
"CHEMBL3695763",566.68,6.01,105.47,2,"Cc1c(C)n(Cc2ccc(cc2)c3ccccc3C(=O)O)c4ccc(cc14)C(=O)NCc5cccc(c5)S(=O)(=O)C",230.0,"nM"
"CHEMBL3695872",509.65,8.01,46.92,2,"C[C@H](NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc3ccc(cc3)c4ccccc4)c5ccnc6ccccc56",512.0,"nM"
"CHEMBL3699434",587.76,7.31,83.36,2,"CC(C)c1cccc(c1)[C@H](C)NC(=O)c2ccc3c(c2)c(C)c(C)n3Cc4ccc(cc4)c5ccccc5C(=O)NCCO",600.0,"nM"
"CHEMBL1230353",516.64,7.55,71.33,2,"CC[C@H](NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc3ccc(cc3)c4ccccc4C(=O)O)c5ccccc5",0.1,"nM"
"CHEMBL3695776",532.64,7.17,80.56,2,"COc1ccc(cc1)[C@H](C)NC(=O)c2ccc3c(c2)c(C)c(C)n3Cc4ccc(cc4)c5ccccc5C(=O)O",0.5,"nM"
"CHEMBL3695776",532.64,7.17,80.56,2,"COc1ccc(cc1)[C@H](C)NC(=O)c2ccc3c(c2)c(C)c(C)n3Cc4ccc(cc4)c5ccccc5C(=O)O",0.9,"nM"
"CHEMBL3695821",494.62,6.66,71.33,1,"Cc1c(C)n(Cc2ccc(cc2)c3ccccc3C(=O)O)c4ccc(cc14)C(=O)NCc5cccs5",1.0,"nM"
"CHEMBL3348830",547.61,7.07,114.47,2,"C[C@H](NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc3ccc(cc3)c4ccccc4C(=O)O)c5ccc(cc5)[N+](=O)[O-]",2.0,"nM"
"CHEMBL3695773",523.03,7.26,71.33,2,"Cc1c(C)n(Cc2ccc(cc2)c3ccccc3C(=O)O)c4ccc(cc14)C(=O)NCc5ccc(Cl)cc5",4.0,"nM"
"CHEMBL3699358",508.66,7.37,71.33,2,"C[C@H](NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc3ccc(cc3)c4ccccc4C(=O)O)C5CCCCC5",4.0,"nM"
"CHEMBL3695839",502.61,6.91,71.33,2,"Cc1cccc(CNC(=O)c2ccc3c(c2)c(C)c(C)n3Cc4ccc(cc4)c5ccccc5C(=O)O)c1",5.0,"nM"
"CHEMBL3695873",494.59,7.74,34.03,1,"C[C@H](NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc3ccc(cc3)c4ccccc4)c5ccc(F)cc5F",5.0,"nM"
"CHEMBL3695903",486.66,8.03,34.03,1,"CC(C)c1cccc(CNC(=O)c2ccc3c(c2)c(C)c(C)n3Cc4ccc(cc4)c5ccccc5)c1",5.0,"nM"
"CHEMBL3695806",488.59,6.94,71.33,1,"CCC(NC(=O)c1ccc2c(ccn2Cc3cccc(c3)c4ccccc4C(=O)O)c1)c5ccccc5",6.0,"nM"
"CHEMBL3695855",488.59,6.94,71.33,1,"CCC(NC(=O)c1ccc2c(ccn2Cc3ccc(cc3)c4ccccc4C(=O)O)c1)c5ccccc5",6.0,"nM"
"CHEMBL3695872",509.65,8.01,46.92,2,"C[C@H](NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc3ccc(cc3)c4ccccc4)c5ccnc6ccccc56",6.0,"nM"
"CHEMBL3695863",526.72,8.98,34.03,2,"CC(C)c1cccc(c1)[C@@H](NC(=O)c2ccc3c(c2)c(C)c(C)n3Cc4ccc(cc4)c5ccccc5)C6CC6",8.0,"nM"
"CHEMBL3699409",543.67,7.44,84.22,2,"C[C@H](NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc3ccc(cc3)c4ccccc4C(=O)O)c5cc(ccn5)C6CC6",8.0,"nM"
"CHEMBL3699424",542.68,8.04,71.33,2,"C[C@H](NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc3ccc(cc3)c4ccccc4C(=O)O)c5cccc(c5)C6CC6",10.0,"nM"
